description,labels
chelsea sack mutu  chelsea have sacked adrian mutu after he failed a drugs test  the yearold tested positive for a banned substance  which he later denied was cocaine  in october chelsea have decided to write off a possible transfer fee for mutu a m signing from parma last season who may face a twoyear suspension a statement from chelsea explaining the decision readwe want to make clear that chelsea has a zero tolerance policy towards drugs mutu scored six goals in his first five games after arriving at stamford bridge but his form went into decline and he was frozen out by coach jose mourinho chelseas statement added this applies to both performanceenhancing drugs or socalled recreational drugs they have no place at our club or in sport in coming to a decision on this case chelsea believed the clubs social responsibility to its fans players employees and other stakeholders in football regarding drugs was more important than the major financial considerations to the company any player who takes drugs breaches his contract with the club as well as football association rules the club totally supports the fa in strong action on all drugs cases fifas disciplinary code stipulates that a first doping offence should be followed by a sixmonth ban and the sports world governing body has reiterated their stance over mutus failed drugs test maintaining it is a matter for the domestic sporting authorities fifa is not in a position to make any comment on the matter until the english fa have informed us of their disciplinary decision and the relevant information associated with it said a fifa spokesman chelseas move won backing from drugtesting expert michelle verroken verroken a former director of drugfree sport for uk sport insists the blues were right to sack mutu and have enhanced their reputation by doing so chelsea are saying quite clearly to the rest of their players and their fans that this is a situation they are not prepared to tolerate it was a very difficult decision for them and an expensive decision for them but the terms of his contract were breached and it was the only decision they could make it is a very clear stance by chelsea and it has given a strong boost to the reputation of the club it emerged that mutu had failed a drugs test on october  and although it was initially reported that the banned substance in question was cocaine the romanian international later suggested it was a substance designed to enhance sexual performance the football association has yet to act on mutus failed drugs test and refuses to discuss his case , sports
record fails to lift lacklustre meet  yelena isinbayeva may have produced another world pole vault record but her achievement could not hide the fact it was not the best meet we have ever seen in birmingham  and hey there are not many meets that go by without the russian breaking a world record  apparently isinbayeva has cleared five metres in training and i would just love her to put us out of our misery and have a go at it rather than extending the indoor record by one centimetre at a time athletics to me is all about pushing the barriers and being the best you can and i would like to see her have a go at m in competition mind you every time she breaks the record she gets  so she can afford to be deliberate about it world records aside i thought it was a very encouraging evenings work for kelly holmes she looked good and was very positive agnes samaria who came second is in very good shape and is in the worlds top three m runners this season yes samaria let kelly get away but there was no coming back over the last m as kelly dominated the race so beating samaria is a bit of a benchmark for kelly my gut feeling is that kelly would like to run in the european indoor championships but she just hasnt convinced herself she is fit enough to do so on the other hand i think jason gardener is struggling to come near what is going to be required to win the mens m in madrid he started well in the final but still could not stay with the frontrunners jason has a lot of experience indoors but for some reason he is struggling to maintain his pace through to the finish  it would have been nice to see what mark lewisfrancis could have done in the final if only he hadnt got himself disqualified he was blatantly playing the falsestart game to his advantage but it tripped him up and made him look a bit silly my view is youre meant to go when the gun goes and not before and if you try to unsettle your rivals by employing the falsestart tactic you have to remember not to false start yourself again having said that mark is looking in much better shape but i havent seen anything from mark or jason yet which suggests frances ronald pognon  who has run  seconds  will be under threat at the europeans from a british point of view sarah claxtons victory in the m hurdles was the best thing to come out of the meet  something else that probably went unnoticed was melanie purkiss winning the womens national m race in a new personal best of  seconds aaas champion kim wall came second in another lifetime best so we have a very strong xm squad going to the european championships scotlands lee mcconnell is probably going to run too so we have a real prospect of a medal from an international perspective i thought meseret defar was disappointing in the m but i dont think the pacemaking was great canadian heather hennigar set a fast early pace but could not maintain it and if jo pavey had been in last years shape she would have given defar a real run for her money she had a go but just could not hang in there we were also expecting a bit more from bernard lagat in the mens m but he has only just come over from the usa so he may not be that sharp and i still think he is in great shape as for kenenisa bekele he was well beaten by markos geneti but we only had half expectations for bekele as he has been struggling this season it was very hot in the national indoor arena and i felt uncomfortable in the commentary box i think those conditions affected the distance runners and in fact defar complained to her coach after the race that she could not get her breath properly , sports
edu describes tunnel fracas  arsenals edu has lifted the lid on the scenes that followed manchester uniteds win over the gunners  the brazilian confirmed tempers had flared but could shed no light on reports that food was thrown at united boss sir alex ferguson i saw people being pulled apart people pushing pointing and shouting he told uefas official website the united players were trying to wind us up about the result but i didnt see any soup being thrown at anyone however edu tried to play down the incidents adding there was nothing that i havent seen in brazilian derbies derby matches in brazil are worse i like to play in games like this with this intense rivalry but edu was highly critical of the ferocity of some of uniteds challenges during the game particularly on jose antonio reyes i think we were a lot fairer in the tackles than united he said reyes was being kicked all over the park  they were beating up the boy and gary neville was tackling in such a way that he should have been sent off following the game the football association said it would look into events in the tunnel it also charged ruud van nistelrooy with serious foul play while arsenal boss arsene wenger has been asked to explain comments he made about the referee , sports
ogara revels in ireland victory  ireland flyhalf ronan ogara hailed his sides  victory over england as a special win  the munster number  kicked a total of  points including two drop goals to help keep alive their grand slam hopes he told bbc sport we made hard work of it but its still special to beat england i had three chances to win the game but didnt we have work to do after this but we never take a victory over england lightly ireland hooker shane byrne echoed ogaras comments but admitted the game had been englands best outing in the six nations byrne said it was a really really hard game but from one to  in our team we worked really really hard we just had to stick to our defensive pattern trust ourselves and trust those around us all round it was fantastic ireland captain brian odriscoll who scored his sides only try said we are delighted we felt if we performed well then we would win but with england also having played very well it makes it all the sweeter we did get the bounce of the ball and some days that happens and youve just got to jump on the back of it  ireland coach eddie osullivan was surprised that england coach andy robinson said he was certain mark cueto was onside for a disallowed try just before the break andy was sitting two yards from me and i couldnt see whether he was offside or not so i dont know how andy could have known said osullivan  what i do know is that england played well and when that happens it makes a very good victory for us we had to defend for long periods and that is all good for the confidence of the team i think our try was very well worked it was a gem as good a try as we have scored for a while osullivan also rejected robinsons contention england dominated the forward play i think we lost one lineout and they lost four or five so i dont know how that adds up to domination he said odriscoll also insisted ireland were happy to handle the pressure of being considered favourites to win the six nations title this season for the first time we have been able to play with the favourites tag he said hopefully we have proved that today and can continue to keep doing so as for my try it was a move we had worked on all week there was a bit of magic from geordan murphy and it was a great break from denis hickie , sports
unclear future for striker baros  liverpool forward milan baros is uncertain whether he remains part of boss rafa benitezs plans after being dropped for the carling cup final  baros who is liverpools leading scorer this season denied reports of a row with benitez but claims he is mystified at being left on the bench he told czech newspaper daily sport i dont know why i didnt play on sunday i didnt argue with anybody i was disappointed but i am not thinking of leaving right now the czech international came on as a substitute after  minutes but could not prevent his side losing  to chelsea after extratime  baros denied suggestions he wanted to leave the millennium stadium before the match upon learning of his omission from the starting lineup but his admission that he guessed something like this was going to happen on saturday will do little to quell claims of a fallingout with benitez and although baros insisted thoughts of quitting anfield are not in my mind right now he admitted everything is possible , sports
ronaldo considering new contract  manchester united winger cristiano ronaldo said he is close to agreeing to a new contract at old trafford  the portugal star who joined in august  on a fiveyeardeal is a regular in the united firstteam the united board have already made an offer to renew the contract but im trying not to think about it he told the news of the world my agent has spoken with the club and it will be resolved soon i think well reach a good agreement for both sides ronaldo refused to commit his longterm future to the club  nobody knows what will come tomorrow i like being here but who knows he added there arent many bigger and better clubs than this one its my ambition to be at a big club im happy but nobody knows the future , sports
dawson wins england squad recall  wasps scrumhalf matt dawson has been recalled to englands training squad ahead of the rbs six nations and been reinstated in the elite player squad  coach andy robinson dropped dawson for the autumn tests after he missed training to film a question of sport i always said i would consider bringing matt back if i felt he was playing well robinson said he merits his return on current form newcastles yearold centre mathew tait is also in the training squad its obviously an honour to be asked to train with england said tait who has burst into contention recently i look forward to going down and doing the sessions but the most important thing at the moment is sundays game against newport so im not looking any further than that robinson has invited  players to attend a threeday session in leeds next week in which his squad will train in part with the leeds rhinos rugby league squad  with mike tindall ruled out of the opening two matches and will greenwood sidelined for the entire six nations tait is one of six or seven contenders for the two centre berths stuart abbott jamie noon ollie smith olly barkley and henry paul  who retains his place despite his early substitution against australia  are also in the mix ben cohen could also be considered after switching from the wing for his club northampton recently prop phil vickery and lock simon shaw both return to the squad after missing the autumn tests through injury while wasps wing tom voyce is recalled the group also includes bath flanker andy beattie and leicester hooker george chuter beattie has matured greatly as a player these past two seasons robinson said jonny wilkinson tindall and martin corry have all been included despite their unavailability for the opening two matches against wales and france  the revised man elite squad includes wasps hooker phil greening who replaces the retired mark regan and sale wing mark cueto cueto was selected for the november internationals despite not being part of the group but scored four tries in three england appearances leicester scrumhalf harry ellis has also been promoted from the senior national academy and will contest the number nine jersey with dawson and gloucesters andy gomarsall the players in robinsons elite squad can only play  matches for club and country they can be called up for a total of  training days in addition to the recognised international weeks for each of the years leading up to the next world cup  balshaw cohen cueto lewsey robinson simpsondaniel voyce abbott noon paul smith tait tindall barkley hodgson king wilkinson dawson ellis gomarsall  chuter thompson titterrell rowntree sheridan stevens vickery white borthwick brown l deacon grewcock kay shaw beattie corry forrester hazell jones moody vyvyan j worsley  abbott balshaw borthwick a brown chuter cohen corry cueto dawson ellis flatman gomarsall greening greenwood grewcock hazell hill hodgson kay king lewsey moody noon paul robinson rowntree shaw simpsondaniel thompson tindall titterrell vickery vyvyan white wilkinson j worsley m worsley  barkley beattie christophers l deacon forrester c jones palmer rees sheridan skinner smith stevens tait voyce  dowson haughton monye roques p sanderson , sports
man utd through after exeter test  manchester united avoided an fa cup upset by edging past exeter city in their third round replay  cristiano ronaldo scored the opener slipping the ball between paul jones legs after just nine minutes united wasted a host of chances to make it safe as jones made some great saves but wayne rooney put the tie beyond doubt late on with a cool finish exeter had chances of their own sean devine twice volleying wide and andrew taylor forcing tim howard to save united boss sir alex ferguson was taking few chances after their  draw in the first game and he handed starts to paul scholes and ryan as well as ronaldo and rooney exeter began brightly with devine and steve flack seeing plenty of the ball but it did not take united long to assert their authority and the hosts soon found themselves a goal down scholes played a lovely pass in to ronaldo on the lefthand side of the sixyard box and the portuguese winger slid the ball between the legs of jones to open the scoring  united sensed a chance to finish the tie as a contest early on and ronaldo blazed over before jones saved well from scholes and then rooney the visitors pressure by now was incessant and rooney had another shot blocked while ronaldo slammed well over the bar again from a good position just before the break giggs had a golden chance to double the advantage but the welshman dragged a leftfoot effort badly wide from  yards in stoppage time exeter created their best chance as alex jeannin swung in a cross from the left that devine managed to flick goalwards but the ball flew wide of howards goal the grecians came out after the break in determined fashion and howard had to show safe hands to collect two searching crosses into the united box rooney looked like he might have sealed the result with a turn and shot but the ball stuck in the st james park mud and jones raced back to gather on the goalline moments later devine had the chance to make himself a hero but he could only volley jeannins brilliant cross wide of howards goal after being left unmarked six yards out after rooney had completely messed up a freekick  yards out taylor showed him how it should be done his stunning drive from distance forcing a flying stop from howard the home crowd were baying for a goal and they did get the ball into the net only for devines low effort to be ruled out for an obvious offside the persistent rooney eventually rounded jones with three minutes to go and slotted into an empty net to book a home tie with middlesbrough in the fourth round  jones hiley sawyer gaia jeannin moxey taylor martin  ampadu afful  clay flack edwards  devine subs not used rice todd  ampadu clay  howard phil neville gary neville oshea fortune giggs saha  miller fletcher  scholes djembadjemba silvestre  ronaldo rooney subs not used ricardo bellion  ronaldo  rooney     p dowd staffordshire , sports
barkley fit for match in ireland  england centre olly barkley has been passed fit for sundays six nations clash with ireland at lansdowne road  barkley withdrew from baths team for fridays clash with gloucester after suffering a calf injury in training gloucester centre henry paul has also been cleared to play after overcoming an ankle injury england coach andy robinson who names his team on wednesday has called up bath prop duncan bell following phil vickerys broken arm with vickery sidelined for at least six weeks and julian white out with a neck injury bell could make his england debut bell  had set his sights on an international career with wales but last december the international rugby board confirmed that he could only be eligible for england as he had travelled on tour with them in  i thought id burned all my bridges with england when i expressed an interest in wanting to play for wales so its fantastic to get this opportunity he said bell who featured in the england a side which beat france   days ago added i recognise that i got into the england a squad because of injuries and its the same again in getting into the senior squad but now that i have this opportunity i intend to take it fully if selected and play my heart out for my country  england coach andy robinson could take a gamble and call inexperienced sale sharks prop andrew sheridan into his front row but sheridan favours the loosehead side of the scrum and a more likely scenario is for uncapped bell  who was among the tryscorers when england a beat france a  nine days ago  to be drafted in , sports
bristol city  milton keynes  leroy lita took his goal tally to  for the season as his double earned city an ldv vans trophy win  the striker finished off scott murray cross from close range just seconds before halftime lita then made it  on  minutes but dons substitute serge makofo then netted a great volley to make it  the visitors almost took the tie to extra time with a late yard bullet from richard johnson which was well held by steve phillips  phillips amankwaah coles hill fortune murray anyinsah  doherty harley  dinning bell lita cotterill  gillespie subs not used orr brown  hill  lita    bevan oyedele ntimbanzeh crooks puncheon kamara makofo  chorley herve mckoy  tapp johnson  mackie pacquette subs not used martin palmer  pacquette chorley johnson mckoy  makofo     j ross essex , sports
